ID,Module,Loại,Pre-condition,Summary,Step,Expected,Actual,Priority,Bug information,Note
1,DS Yêu cầu VH,Happy,TK có quyền Xem,Kiểm tra truy cập màn Danh sách yêu cầu VH xử lý,1. Mở menu Yêu cầu Vận hành xử lý,"1. Hiển thị danh sách.
2. Mặc định lọc Trạng thái = Chờ tiếp nhận.
3. 10 bản ghi/trang (đổi được), mới nhất lên đầu.",,High,,
2,DS Yêu cầu VH,Unhappy,TK không có quyền,Kiểm tra chặn khi TK không có quyền Xem/Xử lý,"1. Đăng nhập TK không quyền
2. Mở menu",1. Không truy cập được / ẩn chức năng.,,Medium,,
3,DS Yêu cầu VH,Happy,Có dữ liệu,Kiểm tra grid hiển thị đủ cột,1. Quan sát các cột,"1. STT, Ngày yêu cầu (dd/MM/yyyy), Thông tin Merchant (ID, Tên), Loại yêu cầu, Thông tin cũ, Thông tin mới, Tài liệu đính kèm, Ngày hiệu lực, Trạng thái, Người/Ngày xử lý, Nội dung xử lý, Xử lý, Lịch sử xử lý.",,High,,
4,DS Yêu cầu VH,Happy,Có dữ liệu nhiều loại,Kiểm tra lọc theo Loại yêu cầu,"1. Mở dropdown Loại yêu cầu
2. Chọn lần lượt từng loại","1. Mặc định Tất cả.
2. Danh sách: Tất cả, Thay đổi tài khoản thanh toán, thay đổi phí, yêu cầu cấp bổ sung TID, thanh lý, khác.
3. Lọc đúng theo loại.",,High,,
5,DS Yêu cầu VH,Happy,Có dữ liệu nhiều trạng thái,Kiểm tra lọc theo Trạng thái,"1. Mở dropdown Trạng thái
2. Chọn lần lượt","1. Mặc định Chờ tiếp nhận.
2. Danh sách: Tất cả, Chờ tiếp nhận, Đang xử lý, Đã tiếp nhận, Từ chối.
3. Lọc đúng.",,High,,
6,DS Yêu cầu VH,Happy,Có dữ liệu khớp,Kiểm tra tìm kiếm tương đối + copy/paste,1. Nhập (paste) Tên MC / TID / MID / tên viết tắt,1. Lọc tương đối ra bản ghi khớp; cho copy/paste.,,Medium,,
7,DS Yêu cầu VH,Unhappy,Không có dữ liệu khớp,Kiểm tra thông báo khi tìm không có kết quả,1. Nhập từ khoá không tồn tại,1. Hiển thị 'Không tìm thấy dữ liệu hợp lệ'.,,Medium,,
8,DS Yêu cầu VH,Field validation,TT cũ/mới > 500 ký tự,Kiểm tra Xem thêm/Rút gọn Thông tin cũ/mới,"1. Quan sát bản ghi có TT cũ/mới > 500 ký tự
2. Nhấn Xem thêm / Rút gọn",1. Hiển thị tối đa 500 ký tự + Xem thêm/Rút gọn; nhấn hiển thị/thu gọn đúng.,,Low,,
9,DS Yêu cầu VH,Happy,Yêu cầu đổi TK,Kiểm tra Thông tin cũ/mới của loại Thay đổi tài khoản thanh toán,1. Mở bản ghi loại Thay đổi TK,1. Hiển thị các TID + tài khoản cũ / tài khoản mới.,,Medium,,
10,DS Yêu cầu VH,Happy,Yêu cầu đổi phí,Kiểm tra Thông tin cũ/mới của loại Thay đổi phí,1. Mở bản ghi loại Thay đổi phí,1. Hiển thị loại thẻ + phí cũ / phí mới.,,Medium,,
11,DS Yêu cầu VH,Happy,Yêu cầu cấp BS TID,Kiểm tra Thông tin của loại Cấp bổ sung TID (chỉ TT mới),1. Mở bản ghi loại Cấp bổ sung TID,1. Chỉ có thông tin mới: số TID cấp bổ sung + thông tin từng TID.,,Medium,,
12,DS Yêu cầu VH,Happy,Yêu cầu thanh lý,Kiểm tra Thông tin của loại Thanh lý (chỉ TT mới),1. Mở bản ghi loại Thanh lý,1. Chỉ có thông tin mới: số hợp đồng.,,Medium,,
13,DS Yêu cầu VH,Happy,Yêu cầu có file,Kiểm tra Tài liệu đính kèm hiển thị/tải,1. Mở/tải tài liệu đính kèm,1. Hiển thị & tải được file đính kèm.,,Low,,
