ID,Module,Loại,Pre-condition,Summary,Step,Expected,Actual,Priority,Bug information,Note
1,Danh sách văn bản,Happy,TK có quyền Xem QL văn bản,Kiểm tra truy cập màn Quản lý văn bản từ Chi tiết hợp đồng,"1. Danh sách hợp đồng => Xem => Chi tiết hợp đồng
2. Mở tab Quản lý văn bản","1. Hiển thị danh sách văn bản.
2. 20 bản ghi/trang, bản ghi mới nhất lên đầu.",,High,,
2,Danh sách văn bản,Unhappy,TK không có quyền Xem,Kiểm tra chặn truy cập khi không được phân quyền,"1. Đăng nhập TK không quyền
2. Mở Quản lý văn bản",1. Không truy cập được / ẩn chức năng hoặc báo không có quyền.,,High,,
3,Danh sách văn bản,Happy,Có nhiều loại văn bản,Kiểm tra lọc theo Loại văn bản (droplist 1 giá trị),"1. Mở droplist Loại văn bản
2. Chọn lần lượt: Tất cả / Phụ lục / Giấy ủy quyền / Biên bản","1. Mặc định 'Tất cả'.
2. Lọc đúng theo nhóm/loại đã chọn.",,High,,
4,Danh sách văn bản,Happy,Có dữ liệu,Kiểm tra grid hiển thị đủ cột theo BA,1. Quan sát các cột,"1. STT, Ngày tạo (DD/MM/YYYY), Ngày hiệu lực, Tên văn bản (click mở popup), Loại văn bản, Loại yêu cầu, Trạng thái hiệu lực, Trạng thái ký, Trạng thái VH duyệt, Thao tác.",,High,,
5,Danh sách văn bản,Happy,Có văn bản đủ trạng thái hiệu lực,Kiểm tra màu trạng thái hiệu lực,1. Quan sát cột Trạng thái hiệu lực,1. Còn hiệu lực = xanh; Hết hiệu lực = đỏ; Huỷ = xám.,,Medium,,
6,Danh sách văn bản,Happy,Có văn bản nhiều loại,Kiểm tra Trạng thái ký hiển thị đúng bộ trạng thái theo từng loại văn bản,1. Quan sát Trạng thái ký theo từng loại,"1. PL đổi TK/phí: Nháp, Chờ MC ký, MC ký lỗi, Chờ Gtelpay ký, Gtelpay ký lỗi, Gtelpay đã ký, Ký tay.
2. PL cấp TID: thêm Chờ thẩm định, Không đạt.
3. GUQ NNUQ: Nháp, Chờ thẩm định, Chờ BD ký, BD ký lỗi, Chờ NNUQ ký, NNUQ ký lỗi, Chờ MC ký, MC ký lỗi, Ký tay.",,High,,HỎI BA: GUQ người đại diện MC có bước Gtelpay ký không (spec mâu thuẫn)
7,Danh sách văn bản,Happy,Có GUQ NNUQ,Kiểm tra Trạng thái VH duyệt cho GUQ NNUQ,1. Quan sát cột Trạng thái VH duyệt với GUQ NNUQ,1. Hiển thị: Chờ tiếp nhận / Đã tiếp nhận / Từ chối.,,Medium,,
8,Danh sách văn bản,Happy,Có văn bản,Kiểm tra nhấn Tên văn bản mở popup văn bản,1. Nhấn Tên văn bản (textbutton),1. Hiển thị popup nội dung văn bản tương ứng.,,Medium,,
9,Danh sách văn bản,Happy,,Kiểm tra nút Tạo văn bản mở popup Tạo văn bản,1. Nhấn Tạo văn bản,1. Hiển thị popup Tạo văn bản.,,High,,
10,Tạo văn bản (chung),Happy,Mở popup Tạo văn bản,Kiểm tra droplist Loại yêu cầu hiển thị đủ giá trị,1. Mở droplist Loại yêu cầu,"1. Gồm: Thay đổi tài khoản thanh toán, Cấp bổ sung TID/MID, Thay đổi phí.",,High,,
11,Tạo văn bản (chung),Happy,Loại yêu cầu = Thay đổi TK,Kiểm tra trường Người nhận thanh toán chỉ hiện & bắt buộc khi Loại yêu cầu = Thay đổi TK,"1. Chọn Loại yêu cầu = Thay đổi TK
2. Đổi sang loại khác","1. Khi Thay đổi TK: hiện droplist Người nhận (Người đại diện MC / Merchant / NNUQ), mặc định Merchant, bắt buộc.
2. Loại khác: ẩn trường này.",,High,,
12,Tạo văn bản (chung),Unhappy,MC là Tổ chức,Kiểm tra disable NNUQ & Người đại diện MC khi MC là Tổ chức,"1. MC tổ chức
2. Loại = Thay đổi TK
3. Mở Người nhận thanh toán",1. NNUQ và Người đại diện MC bị disable (chỉ chọn Merchant).,,High,,HỎI BA: MC tổ chức đổi TK theo luồng nào?
13,Tạo - Đổi TK (Merchant),Happy,"HĐ Đang hoạt động, ký điện tử",Kiểm tra tạo phụ lục đổi TK (Merchant) - ký điện tử,"1. Loại=Thay đổi TK, Người nhận=Merchant
2. Chọn Seri POS-TID + STK
3. Xác nhận => confirm => Xác nhận","1. Sinh phụ lục đổi TK theo mẫu.
2. Trạng thái ký = Chờ MC ký; gen link & gửi mail cho MC (email người đại diện).",,High,,
14,Tạo - Đổi TK (Merchant),Happy,"HĐ Đang hoạt động, ký tay",Kiểm tra tạo phụ lục đổi TK (Merchant) - ký tay,"1. Tạo phụ lục đổi TK với HĐ ký tay
2. Xác nhận","1. Trạng thái ký = Ký tay; VH = Chờ tiếp nhận.
2. Sinh 1 bản ghi ở màn Yêu cầu VH xử lý.",,High,,
15,Tạo - Đổi TK (Merchant),Unhappy,HĐ khác Đang hoạt động,Kiểm tra tạo văn bản khi HĐ chưa/không Đang hoạt động,1. Tạo phụ lục đổi TK với HĐ không Đang hoạt động,1. Trạng thái ký = Nháp; KHÔNG gửi mail ký.,,High,,
16,Tạo - Đổi TK (Merchant),Field validation,POS đang có yêu cầu chờ duyệt,Kiểm tra Seri POS-TID disable POS đang có yêu cầu chờ duyệt,1. Mở droplist Seri POS-TID,1. POS đang có yêu cầu đổi TK chờ duyệt bị disable (chống tạo trùng).,,High,,
17,Tạo - Đổi TK (Merchant),Field validation,POS đã gắn 1 TK,Kiểm tra STK disable tài khoản gần nhất đã gắn POS,1. Mở droplist STK,"1. Tài khoản gần nhất đã gắn POS bị disable.
2. Format hiển thị: Số TK – tên TK.",,Medium,,
